pmid,title,abstract,journal
12976583,Prevalence of heart disease in university students.,,American journal of public health and the nation's health
24788633,Spectrum of left atrial thrombus in rheumatic heart disease.,,BMJ case reports
26173299,Reducing the Prevalence and Costs of Heart Disease.,"(1) Approximately one in four women and one in five men will die within the first year of having a heart attack. (2) About $108 billion is spent to treat coronary heart disease each year. (3) Engaging in health behaviors—such as keeping blood pressure, cholesterol and weight low—reduces risk of heart attack or stroke by more than 80 percent.",NCSL legisbrief
20240819,Coronary heart disease in industry.,,Industrial medicine & surgery
12981225,"Incidence of heart disease in school children of Pensacola, Florida.",,The Journal of the Florida Medical Association. Florida Medical Association
19772080,Heart disease: The number one killer in the country.,,Caring : National Association for Home Care magazine
18103153,"RHEUMATIC heart disease, enlarged heart, mitral stenosis and insufficiency.",,"Bulletin. Margaret Hague Maternity Hospital (Jersey City, N.J.)"
3646986,Exercise and chronic heart disease?,,"Geriatric nursing (New York, N.Y.)"
20343576,Heart disease in children in a rural Iowa county particularly in relation to rheumatic fever.,,Proceedings [of the] annual meeting. Central Society for Clinical Research (U.S.)
14169517,HEART MUSCLE ANTIBODIES IN RHEUMATIC FEVER AND OTHER DISEASES.,,The Journal of clinical investigation
13115017,[Mixed heart diseases in silicoses].,,Archives des maladies professionnelles de medecine du travail et de securite sociale
13175867,[Heart disease and the thyroid gland].,,Medicina espanola
6012996,Symposium on rheumatic heart disease as an economical disease. 1. A heart disease control program for school children in Osaka.,,Japanese circulation journal
14445433,Mechanical factors in heart disease.,,Journal of the Irish Medical Association
13665205,Recognition of remediable heart disease.,,The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society
13968983,Surgery for acquired heart disease.,,Medical science
14223001,[DIASTOLIC MURMURS].,,Malattie cardiovascolari
13069811,Multivalvular heart disease and simultaneous surgical correction.,,The Journal of the International College of Surgeons
13199334,The changing aetiology of heart disease.,,British medical journal
13449181,Round heart disease in poultry.,,Journal of comparative pathology
18856849,Physiological studies in congenital heart disease; the circulation in patients with isolated septal defects.,,Bulletin of the Johns Hopkins Hospital
18888542,[Heart disease of complex etiopathogenesis].,,El Dia medico
18103587,[Heart disease complicated with hyperthyroidism].,,Nordisk medicin
18949824,Heart disease a major killer among people with HIV/AIDS.,,Harvard heart letter : from Harvard Medical School
21019018,"Valvular heart disease (rheumatic) in rejectees; survey of 100,000 cardiac examinations performed at the New Haven Recruiting and Induction Station, New Haven, Connecticut.",,Connecticut state medical journal
20272554,Physiological studies in congenital heart disease.,,The Journal of clinical investigation
14255486,UNEXPLAINED UNDERVENTILATION OF THE LUNGS.,,Thorax
18889250,Underlying causes of heart disease.,,The American journal of nursing
18877970,The treatment of certain heart conditions by homeopathy.,,The British homoeopathic journal
9630884,Dishing up clues to heart disease.,,Nature biotechnology
9950653,Studying populations and heart disease risk.,,Circulation
13226573,The physical diagnosis of heart disease.,,"Medical bulletin (Ann Arbor, Mich.)"
13124258,Some aspects of scleroderma heart disease.,,American heart journal
13052383,Dietary factors in treating heart disease.,,Journal of the American Dietetic Association
14387968,Pathology of heart disease in Africa.,,American journal of clinical pathology
15744857,"Watching heart disease from a distance. New technology makes it easier to keep tabs on your heart, and heart disease.",,Harvard heart letter : from Harvard Medical School
13040261,The risk of fallacious conclusions from autopsy data on the incidence of diseases with applications to heart disease.,,American heart journal
13137551,[Heart disease in the Congo Negro].,,Annales de la Societe belge de medecine tropicale (1920)
8590538,"Intracardiac thrombi: frequency, location, etiology, and complications: a morphologic review--Part IV.","Intracardiac thrombus may develop as a consequence of multiple underlying cardiac disorders. Valvular heart disease, in particular, rheumatic mitral stenosis is frequently associated with intracardiac thrombus. Part IV of this 5-part article on intracardiac thrombus focuses on the frequency and consequences of thrombus in valvular heart disease.",Clinical cardiology
5666851,"Detection of heart disease in children, 1919-1967.",,Circulation
20271323,A clinical study of congenital heart disease.,,The New Zealand medical journal
14395478,Radiologic aspects of operable heart disease. I. Observations on the preoperative approach to congenital anomalies.,,Radiology
918401,[Beriberi heart disease (author's transl)].,,Kokyu to junkan. Respiration & circulation
4077491,Epidemiology of heart disease in old age.,,Israel journal of medical sciences
14214809,CLASSIFICATION AND DIFFERENTIAL DIAGNOSIS OF THE MYOCARDIOPATHIES.,,Progress in cardiovascular diseases
14475580,Summary of research on the relationship of exercise to heart disease.,,The Journal of sports medicine and physical fitness
13157068,The history and physical examination in the recognition of heart disease.,,Transactions. American College of Cardiology
18880733,Electrocardiographic appearances in acute and chronic pulmonary heart disease.,,British heart journal
13048237,[Cardiac liver].,,La Revue du praticien
22069821,Nature trumps nurture for heart disease.,,Harvard heart letter : from Harvard Medical School
20844402,Caring for adults with congenital heart disease.,,Nursing
18859391,Unexpected death in children with rheumatic heart disease.,,The American journal of pathology
106809,[Immunologic aspects of heart disease].,,Arquivos brasileiros de cardiologia
14367062,Evaluation of lead I as a screening technique for heart disease.,,Journal of the American Medical Association
14070727,A PUBLIC HEALTH PROGRAM FOR CHILDREN WITH HEART DISEASE OR RHEUMATIC FEVER.,,American journal of public health and the nation's health
14088339,CARDIOVASCULAR DISEASE IN THE AFRICAN IN MATABELELAND.,,The Central African journal of medicine
13574683,The anniversary reaction in heart disease.,,The Heart bulletin
13363765,The surgery of acquired heart disease.,,BMQ; the Boston medical quarterly
13623132,Understanding the patient with heart disease.,,Nursing outlook
4469908,[Thoracic malformation and heart disease].,,Le Poumon et le coeur
13647645,The social importance of heart disease.,,Triangle; the Sandoz journal of medical science
14381009,[Symptomatic treatment of heart disease].,,Hippokrates
13072982,[Exercise tests in heart disease].,,Nordisk medicin
19845049,His and hers heart disease. Mounting evidence makes a case for a gender-based approach to heart disease.,,Harvard health letter
14940637,[Corhormone therapy of heart disease and the question of dosage].,,"Medizinische Welt (Stuttgart, Germany : 1951)"
23669117,Future challenges in providing appropriate care for adults with congenital heart disease.,,International journal of cardiology
18880730,"Pulmonary heart disease, acute and chronic.",,British heart journal
13030390,Relative values of techniques used in detection of heart disease.,,American heart journal
13429858,SURGICAL treatment of ischaemic heart disease.,,"Lancet (London, England)"
13194144,A clinical approach to diagnosis in heart disease.,,New York state journal of medicine
13757351,A somatic component in heart disease.,,The Journal of the American Osteopathic Association
13010335,[Pleural effusions in heart disease].,,France Medecine
5061267,The pattern of acquired heart disease in Nigerian children.,,The African journal of medical sciences
13099539,Detection of the early signs of heart disease in general practice.,,New York state journal of medicine
14279216,STUDIES ON TYPE-SPECIFIC STREPTOCOCCAL ANTIBODY IN RHEUMATIC HEART DISEASE.,,Japanese heart journal
14099131,REHABILITATION OF THE CARDIAC PATIENT.,,The Medical journal of Australia
14218803,[ON TONSILLO-CARDIAC SYNDROME].,,Terapevticheskii arkhiv
13242516,Flying stress and heart disease in naval aviators.,,The Journal of aviation medicine
13216702,[Heart disease therapy with recosen in older patients].,,Therapeutische Umschau. Revue therapeutique
14184252,[ANALYSIS OF ACQUIRED HEART DEFECTS ACCORDING TO DATA OF THE 1ST INTERNAL DISEASE CLINIC OF THE SILESIAN ACADEMY OF MEDICINE].,,Reumatologia
13222101,Management of the diabetic patient with heart disease.,,Journal - Michigan State Medical Society
14362998,"[Etiology of heart disease in Salvador (Bahia, Brazil)].",,Arquivos brasileiros de cardiologia
13241367,[Thyrotoxic heart disease: a condition easily overlooked].,,Duodecim; laaketieteellinen aikakauskirja
13943151,Selected problems in the management of emphysema complicated by heart disease in addition to cor pulmonale.,,American heart journal
13041611,[27 Cases of heart disease of unknown origin].,,Arquivos brasileiros de cardiologia
13844388,[The candidates for heart disease].,,Casopis lekaru ceskych
13809224,[Radioactive therapy for heart disease].,,Revue medicale de Liege
13422050,[Cerebral disorders in heart disease].,,Strasbourg medical
13554901,[The lungs in heart disease].,,Rassegna di fisiopatologia clinica e terapeutica
14915883,[Etiological types of heart disease in railway workers in São Paulo].,,Arquivos brasileiros de cardiologia
14915881,[Etiology of heart disease in Ceará].,,Arquivos brasileiros de cardiologia
13136092,[Relation between spinal changes and heart disease].,,Therapie der Gegenwart
13519386,[Social aspects of heart disease].,,Svenska lakartidningen
13036514,"History, hypothesis, and the heart.",,The Medical journal of Australia
13270667,"Angiocardiography: its development, technic, and findings, and role in surgical heart disease.",,Diseases of the chest
13738146,The operative management of acquired heart disease.,,The American surgeon
18870226,Management of rheumatic fever and rheumatic heart disease.,,Minnesota medicine
18916619,Symposium on rheumatic fever and heart disease.,,Rhode Island medical journal
11519250,[Content of myocardial catecholamines in patients with natural and acquired heart disease].,Approved by increased considered of adrenaline and nor-adrenaline in myocard of patients with native and acquisition of the heart diseases a speciality at part of the heart with largest functional working load. Taking increased levels of adrenaline and nor-adrenaline in the different parts of the heart at the sever patients with heart diseases usually with progressive heart's decompensation the recommendation preventive cardio-stimulation of the time of the surgery operation on the heart for correction of cardiac arrhythmic.,"Fiziolohichnyi zhurnal (Kiev, Ukraine : 1994)"
20292067,Some observations on the prevalence of rheumatic heart disease in Canada.,,Canadian journal of public health = Revue canadienne de sante publique
13857107,ACROMEGALY with heart disease. Report of development at low-salt syndrome.,,Geriatrics
13281103,[Heart diseases and pregnancy].,,Revista De Ginecologia Y Obstetricia
14931369,[Heart diseases and pregnancy].,,Terapevticheskii arkhiv
13075058,[Heart diseases and pregnancy].,,Revista medica de Cordoba
13058750,[Heart diseases and pregnancy].,,Archivos del Instituto de Cardiologia de Mexico
4436884,Patho-physiologic considerations in the diagnosis and management of heart disease in family practice.,,Journal of the National Medical Association
13132709,Diagnostic applications of indicator dilution curves in heart disease.,,Minnesota medicine
13002840,Newer graphic methods in the diagnosis of heart disease.,,New York state journal of medicine
14256692,"COMPLICATIONS IN 4,413 CATHETERIZATIONS OF THE RIGHT SIDE OF THE HEART.",,American heart journal
14386219,[Brain constituents in the determination of infantilism associated with heart disease].,,Strasbourg medical
13024351,[False cardiacs and undiagnosed heart disease].,,Medecine et hygiene
14135110,[ELECTROENCEPHALOGRAPHIC RESEARCH IN PATIENTS WITH HEART DISEASE IN VARIOUS CONDITIONS OF CIRCULATORY INSUFFICIENCY].,,Atti della Societa italiana di cardiologia
14259509,"ANALYSIS OF RECORDED PREVALENCE, AMOUNT OF MEDICAL CARE, ND FOLLOW THROUGH ON ORGANIC HEART DISEASE IN 95,000 PUPILS.",,The Journal of school health
20286831,Salient features of the diagnosis of chronic rheumatic valvular heart disease: illustrative cases.,,American practitioner and digest of treatment
14205126,[A SUBSTANCE ELABORATED BY THE SPLEEN AND ACTIVATED BY THE LIVER IN TREATMENT OF SOME TYPES OF HEART DISEASE].,,Minerva cardioangiologica
14228363,P WAVE CHANGES REFLECTING ATRIAL MORPHOLOGY.,,Diseases of the chest
12976256,[Heart diseases caused by myogeloses].,,Arztliche Wochenschrift
4923402,Primary prevention of rheumatic fever in Jerusalem schoolchildren. 3. Screening for heart disease by means of the PhonoCardioScan.,,Israel journal of medical sciences
23189350,"Genetic information may help diagnose and treat heart disease. But a recent study of 19,000 women indicates science has a ways to go.",,Heart advisor
14153600,[RHEUMATIC HEART DISEASE WITH SHELL CALCIFICATION OF THE LEFT AURICLE].,,Minerva medica
14223790,[ANTIBODIES WITH CARDIAC SPECIFICITY AND THEIR SIGNIFICANCE].,,Coeur et medecine interne
13161740,Pulmonary complications of heart diseases.,,Diseases of the chest
13086251,[Respiration as a factor in evaluation of heart disease].,,Die Medizinische
14915671,[Electrophoresis in heart diseases].,,Archives des maladies du coeur et des vaisseaux
14376246,[Dietetics in heart diseases].,,Arztliche Wochenschrift
14369978,Coexistent cholecystic and cardiac disease.,,The Mississippi doctor
13220347,[Diet therapy in heart disease and hypertension].,,El Dia medico
13120754,[Renal output in heart disease and hypertension].,,La Presse medicale
5680890,[Occurrence of chronic pulmonary heart disease in clinical material during recent years].,,Vnitrni lekarstvi
14096383,ALDOSTERONE AND THE EDEMA OF CONGESTIVE HEART FAILURE.,,Archives of internal medicine
18704152,[Heart diseases in Africa].,,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke"
14124059,[STUDIES ON THE VALVULAR HEART DISEASE].,,Taehan Naekwa Hakhoe chapchi = The Korean journal of internal medicine
20286358,[Granular syndrome of febrile heart disease].,,Archives des maladies du coeur et des vaisseaux
5602958,[Cardiopathies and infarct].,,Giornale di clinica medica
13602206,[Clinicostatistical investigation on the incidence of heart diseases & rheumatic disease in pupils of the elementary schools in Bari].,,Reumatismo
13119221,[Recognition of heart disease in roentgenography; results of a factory examination].,,Die Medizinische
13071271,[Sport as a therapeutic factor in heart disease].,,Die Medizinische
13193156,[Static variations of arterial tone in heart disease].,,Magyar belorvosi archivum es ideggyogyaszati szemle
13172110,[Bases and significance of symptoms of heart disease].,,Arquivos brasileiros de cardiologia
13101552,[Hallucinatory delusional psychosis in heart disease; 2 clinical case reports].,,Rivista di patologia nervosa e mentale
13150832,[The extremital ECG in regulated forced breathing and its value in the early diagnosis of heart disease].,,Deutsche medizinische Wochenschrift (1946)
14372788,[Biological therapy of heart disease; from digitalis to enzymatic lysates].,,La Riforma medica
14838837,[Roentgenodiagnosis of heart diseases].,,Zeitschrift fur klinische Medizin
14844737,[Therapy of heart diseases].,,Rassegna internazionale di clinica e terapia
14858052,[Fever and heart diseases].,,Archivio per le scienze mediche
14782977,[Surgery of heart diseases].,,Acta pediatrica espanola
4914931,Cor Pulmonale. Including a short note on pulmo cordis (cardiac lung disease).,,Disease-a-month : DM
15143564,[Study on medical diagnosis decision support system for heart diseases based on hybrid genetic algorithm].,"In this study, a medical diagnosis decision support system based on hybrid genetic algorithm has been established to support the diagnosis of five common heart diseases (coronary heart disease, rheumatic valvular heart disease, hypertensive heart disease, chronic cor pulmonale and congenital heart disease). A heart disease database consisting of 352 samples was used for constructing and testing the performance of system. Cross-validation of the experimental results indicate that the system we established shows high capability of classifying these five kinds of heart diseases, the mean accuracy of classification is as high as 90.6%, and the user accuracy and procedure accuracy of each disease are both above 85.0%, showing great application prospect of supporting heart diseases diagnosis in clinics.",Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi
14389868,[The heart in arterial hypertension].,,Bulletin medical
14077834,[CLINICAL ASPECTS OF CHAGAS' HEART DISEASE].,,El Dia medico
12979649,[Heart diseases and blood proteins].,,Deutsche medizinische Wochenschrift (1946)
13864744,Early treatment of acute cardiorespiratory insufficiency in chronic cardiorespiratory disease.,,Medical times
14210618,THE SIGNIFICANCE OF A WIDE TSE LOOP.,,Circulation
13084136,[Combined treatment of heart disease with valerian and Crataegous].,,Hippokrates
14107170,SURGICAL RISK IN THE CARDIAC PATIENT.,,Journal of chronic diseases
13162025,[Social prevention of heart diseases].,,Folia cardiologica
13006850,[The use of graphic registration of venous pulse in evaluation of heart disease].,,Zeitschrift fur Kreislaufforschung
9592315,[The trend of changes in etiologic types of heart diseases in Shanghai from 1948 to 1989].,"Analysis of the data from 7188 cases seen in the 1980s two general hospitals in Shanghai and comparison of the data with those in the 1950s, 1960s and 1970s revealed that the percentage of heart diseases among the inpatients in medical wards increased in each decades, from 9.89%, 15.69% 20.91% to 23.54% respectively. The constituent ratios of different etiologic types of heart diseases changed. Coronary heart disease constituted the largest proportion, next in number was rheumatic heart disease and congenital heart disease was in the third place. The incidence of congenital heart diseases, myocarditis, cardiac dysrhythmias without organic heart diseases, cardiomyopathy and endocarditis increased and that of rheumatic heart disease, pulmonary heart disease and hypertensive heart disease apparently decreased, syphilitic heart disease was rarely encountered.",Zhonghua nei ke za zhi
14199914,THE USE OF INDICATOR-DILUTION TECHNIC IN THE DIAGNOSIS OF CONGENITAL AND ACQUIRED HEART DISEASES.,,[Tsa chih] [Journal of the] Alumni of the University of Takau. Gaoxiong yi xue yuan. Tong xue hui
14003853,[On the roentgen diagnosis of heart disease in rheumatism].,,Terapevticheskii arkhiv
13813297,[Clinical syndromes in chronic Chagas' heart disease].,,"Hospital (Rio de Janeiro, Brazil)"
13223687,[Control and treatment of broncho-spastic reaction forms in heart disease patients].,,Munchener medizinische Wochenschrift (1950)
13784301,"[2 cases of carcinoid heart disease, with punch biopsy of the liver and hemodynamic study].",,Bulletins et memoires de la Societe medicale des hopitaux de Paris
13418196,[Basal metabolism and Thorn test in heart disease].,,Die Medizinische
6580556,The role of heart registries.,,New York state journal of medicine
13056347,[Psychical concepts and the heart].,,Revista de medicina y ciencias afines
13047997,[Psychical concepts and the heart].,,Revista de medicina y ciencias afines
13017870,[Peripheral and central blood picture in heart diseases with venous failure].,,Archivio di medicina interna
14819087,Congenital heart diseases in the feebleminded.,,American journal of mental deficiency
14096528,"[HEART VALVE DISEASES, MYOCARDIAL INFARCT AND CORONARY DISORDERS].",,[Sogo rinsho] Clinic all-round
14379858,[Physiological and pathophysiological principles in roentgendiagnosis of heart disease].,,Deutsche medizinische Wochenschrift (1946)
13214868,[On venous ligation in the treatment of heart disease].,,Orvosi hetilap
5790728,"[Concept, principle, and nosological significance of pulmonary heart disease].",,Vnitrni lekarstvi
13008830,[Etiological incidence of heart diseases in the city of Recife].,,Arquivos brasileiros de cardiologia
13001687,[Heart diseases and general adaptation syndrome].,,Medicina
14773017,[Congenital heart diseases; surgical considerations].,,Clinica nuova; rassegna del progresso medico internazionale
14181627,[STUDIES ON STREPTOCOCCAL TYPE-SPECIFIC ANTI M ANTIBODIES IN RHEUMATIC HEART DISEASE USING TANNIC ACID HEMAGGLUTINATION. 2. CLINICAL STUDIES].,,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine
13121404,[Heart diseases and surgical risk].,,Revista brasileira de cirurgia
13604344,[L. E. cell status in heart diseases].,,Zeitschrift fur arztliche Fortbildung
14057617,THE OCCURRENCE OF VALVULAR AND MYOCARDIAL DISEASE IN PATIENTS WITH CHRONIC JOINT DEFORMITY. A SPECTRUM.,,The American journal of medicine
12986567,[Results of a survey on heart diseases in a group of secondary school students in Naples].,,Annali della sanita pubblica
14127642,[THE AMYL NITRITE TEST IN HEART DIAGNOSIS IN CHILDHOOD].,,Kinderarztliche Praxis
13051083,[Heart diseases in naval personnel].,,Annali di medicina navale
13004734,[Heart in hemochromatosis; so-called pigmentary heart diseases].,,La Riforma medica
13045800,[Dispensary treatment of heart diseases].,,Lekarske listy
12999151,[Ointment therapy of heart diseases].,,Hippokrates
10370517,[Management of heart diseases in children in this country in the process of development].,,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie
14358135,[Gastro-hepatic pathology and heart diseases].,,Revue de pathologie generale et de physiologie clinique
13820615,Cardiopulmonary disease and pulmonary ventilation.,,Acta chirurgica Scandinavica. Supplementum
13341367,[Heart diseases and pregnancy; case reports].,,Archivio di ostetricia e ginecologia
13008829,[Etiological study of heart diseases in Rio Grande do Sul].,,Arquivos brasileiros de cardiologia
13121370,[Data on distribution of heart diseases in 2000 school children in Torino].,,Reumatismo
14921979,[Treatment of heart diseases in Kislovodsk].,,Sovetskaia meditsina
13004707,[Pleural effusions in heart diseases].,,La Riforma medica
13127476,[Incidence of heart diseases in the course of rheumatic fever and medicinal treatment of rheumatic carditis and related diseases].,,Deutsche medizinische Wochenschrift (1946)
14847868,[The electrocardiogram in various congenital heart diseases].,,Archivos del Instituto de Cardiologia de Mexico
14206180,DEVELOPMENT OF BUNDLE BRANCH BLOCK.,,The American journal of cardiology
13010419,[Air travel and heart diseases].,,Gazette medicale de France
14836696,[Surgical risks in heart diseases].,,Wiener medizinische Wochenschrift (1946)
14776257,[Surgery of congenital heart diseases].,,Revista brasileira de cirurgia
14865906,"[Pregnancy, labor and heart diseases].",,Le Scalpel
12979641,[Reflectory and algetic symptoms in heart diseases].,,Deutsche medizinische Wochenschrift (1946)
14105077,[DETECTING HEART DEFECTS BY MICROROENTGEN GROUP EXAMINATIONS].,,Duodecim; laaketieteellinen aikakauskirja
13329576,Contributions to diseases of the heart and pericardium. I. Historical introduction.,,Bulletin. New York Medical College
14135099,[PRELIMINARY STUDY ON THE FREQUENCY OF HEART DISEASES IN VARIOUS ITALIAN REGIONS].,,Atti della Societa italiana di cardiologia
14174897,SERVICES FOR CHILDREN WITH HANDICAPS.,,Journal of the American Medical Women's Association
20285523,Some observations on the classification and diagnostic criteria of heart diseases.,,Virginia medical monthly
14258351,THE IMPACT OF CHRONIC CIRCULATORY IMPAIRMENT ON FUNCTIONING OF CENTRAL NERVOUS SYSTEM.,,Annals of internal medicine
13056345,[Thyroid glands and heart diseases].,,Revista medica de Cordoba
5207578,[Heart diseases and their social importance].,,L' Infirmiere
4730397,Cardiac disease in children. An epidemiologic assessment of a specialty service as a basis for planning.,,Pediatrics
13362310,A peculiar type of cardiopulmonary failure associated with obesity.,,The American journal of medicine
13218239,Pulmonary diseases secondary to heart diseases; diagnosis and treatment.,,American journal of surgery
14358962,[Phonocardiography in diagnosis of heart diseases].,,Srpski arhiv za celokupno lekarstvo
13245853,[Observations on heparin activity of plasma in heart diseases].,,Il Progresso medico
13408056,[Tonus of peripheral arteries in children in rheumatic and non-rheumatic heart diseases].,,Pediatriia
13235147,Clinical experience in therapy of heart diseases with Crataegus.,,Die Medizinische
14273320,CONTROL OF OBESITY IN THE CARDIAC PATIENT.,,The American journal of the medical sciences
14206089,[CHEST SURVEY AND CARDIOPATHY].,,Neumologia y cirugia de torax
5470895,"Cardiovascular disease in Djakarta, Indonesia in private and in municipal outpatient practice.",,Tropical and geographical medicine
12982496,[Therapy of heart diseases with digitaloids].,,Medizinische Klinik
14949304,[Effect of heart diseases on menstruation].,,Quaderni di clinica ostetrica e ginecologica
14182605,[C-REACTIVE PROTEIN IN CHILDREN WITH HEART DISEASES].,,Clinica y laboratorio
13027729,[Surgical treatment of heart diseases; indications].,,Revista clinica espanola
14312718,[PROBLEMS AND PROPOSALS IN THE FIELD OF ORGANIZATION OF ASSISTANCE OF CHILDREN WITH CONGENITAL OR ACQUIRED HEART DISEASES].,,Minerva pediatrica
14782856,Surgery of congenital heart diseases with a case report.,,Acta medica Philippina
14205556,CARDIAC DIAGNOSIS FROM EXAMINATION OF ARTERIES AND VEINS.,,Circulation
14166263,[PHONOCARDIOGRAPHIC METHOD IN THE EXAMINATION OF HEART DISEASES].,,Fukuoka igaku zasshi = Hukuoka acta medica
14373679,[Surgical treatment of acquired heart diseases].,,Thoraxchirurgie
13112287,[Blood transfusion in several heart diseases].,,Il Progresso medico
13161802,[Surgical treatment of certain heart diseases].,,Duodecim; laaketieteellinen aikakauskirja
14368810,[Changes in breathing in heart diseases].,,Klinicheskaia meditsina
14077387,A STUDY OF THE PULMONARY BLOOD VOLUME IN MAN BY QUANTITATIVE RADIOCARDIOGRAPHY.,,The Journal of clinical investigation
13220302,[Theory and praxis of the balneotherapy of heart and circulatory diseases].,,Deutsches medizinisches Journal
14175761,[CLINICAL EVALUATION OF INCOMPLETE RIGHT BRANCH BLOCK].,,L'union medicale du Canada
13004922,[Spleen in heart diseases; anatomic studies].,,Le Sang
13051202,[Studies on blood gas and on cardiac debt in various types of heart diseases].,,Archives des maladies du coeur et des vaisseaux
12980166,[Physiopathologic interpretation of hemodynamic picture in heart diseases; coefficient and utilization of oxygen].,,Folia cardiologica
14852683,[Angiocardiographic diagnosis of congenital heart diseases].,,Minerva medica
14858482,[The electrocardiogram in congenital heart diseases].,,Boletin medico del Hospital Infantil de Mexico
14846616,[Clinical study of congenital heart diseases].,,Acta paediatrica Belgica
14144874,CARDIAC INVOLVEMENT IN RHEUMATOID ARTHRITIS AND ALLIED DISORDERS: CURRENT CONCEPTS.,,Modern concepts of cardiovascular disease
14321520,STRUCTURAL CHANGES IN THE HUMAN MYOCARDIUM FOLLOWING HYPOXIA.,,The Journal of thoracic and cardiovascular surgery
13622404,[Syndrome of the cor pulmonale type secondary to congenital and acquired heart diseases].,,Minerva medica
14396967,[Surgery in acquired heart diseases; 43 cases].,,La Tunisie medicale
14118953,THE MEDICAL RESEARCH PROGRAM OF WHO.,,"Medical services journal, Canada"
13110712,[On shoulder-hand syndrome in heart diseases].,,Medizinische Klinik
14170869,[THE INDICATIONS OF 2-AMINO-6-METHYL-6-HEPTANOL HYDROCHLORIDE IN THE THERAPY OF HEART DISEASES].,,La Riforma medica
13144252,[Detection of heart and liver diseases by blood crystallization with copper chloride].,,Medizinische Klinik
13821846,[Clinical experiences with the nucleoside-theophylline combination in cardiocirculatory disorders].,,Gazzetta medica italiana
14094335,CLINICAL EXPERIENCE WITH NEW DIURETIC ANTI-HYPERTENSIVE DRUGS MDI 193 AND M21-CRS.,,Japanese circulation journal
13020676,[Therapy of less severe heart diseases with drugs of the crategus group].,,Deutsches medizinisches Journal
14128893,HOW GOOD ARE ACTIVITY RECOMMENDATIONS GIVEN TO CARDIAC PATIENTS?,,The Hahnemannian
14260431,[EFFECT OF PREGNANCY AND LABOR ON GENERAL HEALTH OF WOMEN WITH HEART DISEASES].,,Voprosy okhrany materinstva i detstva
13963341,[On the permeability of erythrocytes for labelled phosphorus P32 in some heart diseases].,,"Radiobiologia, radiotherapia"
14134975,USE OF ANTICOAGULANT FOR CARDIOVASCULAR DISEASES WITH SPECIAL EMPHASIS OF THE INCIDENCE OF THROMBOEMBOLISM IN JAPAN.,,Yokufuen chosa kenkyu kiyo. Acta gerontologica Japonica
13076022,[Indications for surgery of acquired heart diseases].,,Schweizerische medizinische Wochenschrift
14379857,[Limits of diagnosis in combined heart diseases].,,Deutsche medizinische Wochenschrift (1946)
18857239,[Results of treating cardiac patients with Thiouracil].,,Medizinische Monatsschrift
14225095,[ON THE CLINICAL VALUE OF COLLATERAL TROPHO-ENZYMATIC THERAPY IN ACUTE AND CHRONIC HEART DISEASES].,,Gazzetta medica italiana
1266710,Editorial: Observations on the diagnosis of isolated rheumatic carditis.,"There are many similarities between the clinical features of viral heart disease and of rheumatic carditis, as defined in the revised Jones criteria for the diagnosis of rheumatic fever. Because of this, it is likely that viral heart disease has been, and still is, diagnosed as rheumatic. This situation can be avoided if isolated rheumatic carditis is diagnosed only when a viral etiology has been definitely excluded, and when there is unequivocal evidence of recent infection with an appropriate strain of streptococcus.",American heart journal
12983331,[Pleural effusions in cardiacs].,,La Presse medicale
13778853,Percutaneous diagnostic punctures of the heart and great vessels.,,Acta medica Scandinavica
4668315,[Differential diagnosis of tonsillitis-derived lesions of the heart and rheumocarditis].,,Sovetskaia meditsina
13086049,NATURE of cardiac and pulmonary dyspnoea.,,The Medical journal of Australia
13314380,[Statistical considerations on heart diseases observed in ambulatory patients].,,Annali della sanita pubblica
12993056,[Importance of trauma for pathogenesis and deterioration of heart diseases; its evaluation].,,Munchener medizinische Wochenschrift (1950)
14365501,[Bad Ems treatment of diseases of the heart and circulatory system].,,Deutsches medizinisches Journal
14852682,[Modern diagnosis of congenital heart diseases; based on 45 personal cases].,,Minerva medica
14776483,[Terminology of heart diseases; anatomic point of view].,,Le Scalpel
14830541,"[Etiology of heart diseases in São Paulo, Brazil].",,Arquivos brasileiros de cardiologia
5023366,[Arginase activity in cardiopulmonary diseases. Value of its study in statistic liver diseases].,,Revista clinica espanola
12986312,[Renal function in heart diseases; role of tubular reabsorption].,,Annales de biologie clinique
14098820,[THE USE OF 2831 R.P. (COREPTIL) IN CARDIOVASCULAR DISEASE. REVIEW OF THE LITERATURE AND PERSONAL CONTRIBUTION].,,Archivio per le scienze mediche
13144564,[Importance of electrocardiographical examination in clinical and medico-legal prognosis of heart diseases].,,"Minerva medicolegale; archivio di antropologia criminale, psichiatria, e medicina legale"
14200892,[CARDIAC INVOLVEMENT IN CHRONIC BRONCHITIS].,,Le Poumon et le coeur
6804506,Echocardiographic findings in rheumatic mitral valve disease with chordal rupture.,,Journal of clinical ultrasound : JCU
14858481,[Radiological study of congenital heart diseases in children].,,Boletin medico del Hospital Infantil de Mexico
13052328,[Cardiac lung; definition and limitations].,,Jornal do medico
1051477,Progress in cardiology in Singapore.,,The Nursing journal of Singapore
